a	AW1
xandumbi	SH AW1 N T UW1 M P IY1
xandume	SH AW1 N T UW1 M AH1
xandung	SH AW1 N T UW1 NG
xaneilafi	SH AW1 N AH1 JH L AW1 F IY1
xaneilaha	SH AW1 N AH1 JH L AW1 HH AW1
xang	SH AW1 NG
xangaha	SH AW1 NG AW1 HH AW1
xangdu	SH AW1 NG T UW1
xangga	SH AW1 NG N AW1
xanggabu	SH AW1 NG N AW1 P UW1
xanggabufi	SH AW1 NG N AW1 P UW1 F IY1
xanggabuha	SH AW1 NG N AW1 P UW1 HH AW1
xanggabuhangge	SH AW1 NG N AW1 P UW1 HH AW1 NG NG AH1
xanggabuki	SH AW1 NG N AW1 P UW1 K IY1
xanggabumbi	SH AW1 NG N AW1 P UW1 M P IY1
xanggabume	SH AW1 NG N AW1 P UW1 M AH1
xanggabuqi	SH AW1 NG N AW1 P UW1 K IY1
xanggaburakvngge	SH AW1 NG N AW1 P UW1 R AW1 K AO1 NG NG AH1
xanggabure	SH AW1 NG N AW1 P UW1 R AH1
xanggafi	SH AW1 NG N AW1 F IY1
xanggaha	SH AW1 NG N AW1 HH AW1
xanggahabi	SH AW1 NG N AW1 HH AW1 P IY1
xanggahade	SH AW1 NG N AW1 HH AW1 T AH1
xanggahakv	SH AW1 NG N AW1 HH AW1 K AO1
xanggahan	SH AW1 NG N AW1 HH AW1 N
xanggahangge	SH AW1 NG N AW1 HH AW1 NG NG AH1
xanggaki	SH AW1 NG N AW1 K IY1
xanggambi	SH AW1 NG N AW1 M P IY1
xanggambiki	SH AW1 NG N AW1 M P IY1 K IY1
xanggame	SH AW1 NG N AW1 M AH1
xanggan	SH AW1 NG N AW1 N
xanggaqibe	SH AW1 NG N AW1 K IY1 P AH1
xanggara	SH AW1 NG N AW1 R AW1
xanggarakv	SH AW1 NG N AW1 R AW1 K AO1
xanggarakvngge	SH AW1 NG N AW1 R AW1 K AO1 NG NG AH1
xanggare	SH AW1 NG N AW1 R AH1
xanggatai	SH AW1 NG N AW1 T AW1 JH
xanggha	SH AW1 NG K HH AW1
xanggika	SH AW1 NG NG IY1 K AW1
xanggin	SH AW1 NG NG IY1 N
xanggitu	SH AW1 NG NG IY1 T UW1
xanggitungge	SH AW1 NG NG IY1 T UW1 NG NG AH1
xanggiya	SH AW1 NG NG JH AW1
xanggiyabu	SH AW1 NG NG JH AW1 P UW1
xanggiyakan	SH AW1 NG NG JH AW1 K AW1 N
xanggiyakv	SH AW1 NG NG JH AW1 K AO1
xanggiyambi	SH AW1 NG NG JH AW1 M P IY1
xanggiyan	SH AW1 NG NG JH AW1 N
xanggiyari	SH AW1 NG NG JH AW1 R IY1
xanggiyen	SH AW1 NG NG JH AE1 N
xangguhe	SH AW1 NG NG UW1 HH AH1
xanggvra	SH AW1 NG N AO1 R AW1
xangiyakv	SH AW1 NG JH AW1 K AO1
xangka	SH AW1 NG K AW1
xangkabure	SH AW1 NG K AW1 P UW1 R AH1
xangkan	SH AW1 NG K AW1 N
xangkiri	SH AW1 NG K IY1 R IY1
xangkvra	SH AW1 NG K AO1 R AW1
xangna	SH AW1 NG N AW1
xangnabuha	SH AW1 NG N AW1 P UW1 HH AW1
xangnabuki	SH AW1 NG N AW1 P UW1 K IY1
xangnabumbi	SH AW1 NG N AW1 P UW1 M P IY1
xangnabume	SH AW1 NG N AW1 P UW1 M AH1
xangnafi	SH AW1 NG N AW1 F IY1
xangnaha	SH AW1 NG N AW1 HH AW1
xangnahakv	SH AW1 NG N AW1 HH AW1 K AO1
xangnahan	SH AW1 NG N AW1 HH AW1 N
xangnahangge	SH AW1 NG N AW1 HH AW1 NG NG AH1
xangnaki	SH AW1 NG N AW1 K IY1
xangnambi	SH AW1 NG N AW1 M P IY1
xangname	SH AW1 NG N AW1 M AH1
xangnaqi	SH AW1 NG N AW1 K IY1
xangnara	SH AW1 NG N AW1 R AW1
xangnarakv	SH AW1 NG N AW1 R AW1 K AO1
xangnarakvngge	SH AW1 NG N AW1 R AW1 K AO1 NG NG AH1
xangnarangge	SH AW1 NG N AW1 R AW1 NG NG AH1
xangnarau	SH AW1 NG N AW1 R AW1 W
xangnarn	SH AW1 NG N AW1 R N
xangse	SH AW1 NG S AH1
xangsi	SH AW1 NG S IY1
xangsiha	SH AW1 NG S IY1 HH AW1
xangsin	SH AW1 NG S IY1 N
xangsu	SH AW1 NG S UW1
xangtu	SH AW1 NG T UW1
xangxa	SH AW1 NG SH AW1
xangxaha	SH AW1 NG SH AW1 HH AW1
xangxan	SH AW1 NG SH AW1 N
xangxeu	SH AW1 NG SH AH1 W
xangxi	SH AW1 NG S IY1
xangxu	SH AW1 NG SH UW1
xaniri	SH AW1 N IY1 R IY1
xaniu	SH AW1 N IY1 W
xaniuri	SH AW1 N IY1 W R IY1
xaniya	SH AW1 N JH AW1
xaniyaha	SH AW1 N JH AW1 HH AW1
xaniyalaha	SH AW1 N JH AW1 L AW1 HH AW1
xaniyambi	SH AW1 N JH AW1 M P IY1
xaniyan	SH AW1 N JH AW1 N
xaniyangga	SH AW1 N JH AW1 NG N AW1
xanjin	SH AW1 N JH IY1 N
xanka	SH AW1 N K AW1
xanqara	SH AW1 N CH AW1 R AW1
xanqilafi	SH AW1 N K IY1 L AW1 F IY1
xanqilaha	SH AW1 N K IY1 L AW1 HH AW1
xanqilambi	SH AW1 N K IY1 L AW1 M P IY1
xanqin	SH AW1 N K IY1 N
xanrixame	SH AW1 N R IY1 SH AW1 M AH1
xans	SH AW1 N S
xansi	SH AW1 N S IY1
xansihan	SH AW1 N S IY1 HH AW1 N
xantan	SH AW1 N T AW1 N
xantu	SH AW1 N T UW1
xantuha	SH AW1 N T UW1 HH AW1
xanuka	SH AW1 N UW1 K AW1
xanumbi	SH AW1 N UW1 M P IY1
xanume	SH AW1 N UW1 M AH1
xanyakan	SH AW1 N JH AW1 K AW1 N
xanyan	SH AW1 N JH AW1 N
xanyangga	SH AW1 N JH AW1 NG N AW1
xanyasaka	SH AW1 N JH AW1 S AW1 K AW1
xanyn	SH AW1 N JH N
xanyo	SH AW1 N JH OW1
xapingga	SH AW1 P IY1 NG N AW1
xaqambi	SH AW1 CH AW1 M P IY1
xaqame	SH AW1 CH AW1 M AH1
xaqara	SH AW1 CH AW1 R AW1
xaqun	SH AW1 CH UW1 N
xaqungga	SH AW1 CH UW1 NG N AW1
xar	SH AW1 R
xara	SH AW1 R AW1
xaraka	SH AW1 R AW1 K AW1
xarakabi	SH AW1 R AW1 K AW1 P IY1
xarakan	SH AW1 R AW1 K AW1 N
xarakangge	SH AW1 R AW1 K AW1 NG NG AH1
xarakv	SH AW1 R AW1 K AO1
xarambi	SH AW1 R AW1 M P IY1
xarangge	SH AW1 R AW1 NG NG AH1
xaranggiyame	SH AW1 R AW1 NG NG JH AW1 M AH1
xarapi	SH AW1 R AW1 P IY1
xararakv	SH AW1 R AW1 R AW1 K AO1
xaratala	SH AW1 R AW1 T AW1 L AW1
xarba	SH AW1 R P AW1
xardan	SH AW1 R T AW1 N
xarhvda	SH AW1 R HH AO1 T AW1
xarhvmbi	SH AW1 R HH AO1 M P IY1
xari	SH AW1 R IY1
xaribumbi	SH AW1 R IY1 P UW1 M P IY1
xarilaha	SH AW1 R IY1 L AW1 HH AW1
xariltu	SH AW1 R IY1 L T UW1
xarimbi	SH AW1 R IY1 M P IY1
xarime	SH AW1 R IY1 M AH1
xaringga	SH AW1 R IY1 NG N AW1
xaringgiyabuha	SH AW1 R IY1 NG NG JH AW1 P UW1 HH AW1
xaringgiyabumbi	SH AW1 R IY1 NG NG JH AW1 P UW1 M P IY1
xaringgiyaki	SH AW1 R IY1 NG NG JH AW1 K IY1
xaringgiyambi	SH AW1 R IY1 NG NG JH AW1 M P IY1
xaringgiyame	SH AW1 R IY1 NG NG JH AW1 M AH1
xaringgiyara	SH AW1 R IY1 NG NG JH AW1 R AW1
xarinjambi	SH AW1 R IY1 N JH AW1 M P IY1
xarire	SH AW1 R IY1 R AH1
xarixaha	SH AW1 R IY1 SH AW1 HH AW1
xarixambi	SH AW1 R IY1 SH AW1 M P IY1
xarixame	SH AW1 R IY1 SH AW1 M AH1
xarkan	SH AW1 R K AW1 N
xarkv	SH AW1 R K AO1
xartan	SH AW1 R T AW1 N
xaru	SH AW1 R UW1
xaruk	SH AW1 R UW1 K
xaruka	SH AW1 R UW1 K AW1
xarumbi	SH AW1 R UW1 M P IY1
xasai	SH AW1 S AW1 JH
xasiga	SH AW1 S IY1 K AW1
xasigalabuha	SH AW1 S IY1 K AW1 L AW1 P UW1 HH AW1
xasigan	SH AW1 S IY1 K AW1 N
xasiha	SH AW1 S IY1 HH AW1
xasihalabufi	SH AW1 S IY1 HH AW1 L AW1 P UW1 F IY1
xasihalabuha	SH AW1 S IY1 HH AW1 L AW1 P UW1 HH AW1
xasihalabumbi	SH AW1 S IY1 HH AW1 L AW1 P UW1 M P IY1
xasihalafi	SH AW1 S IY1 HH AW1 L AW1 F IY1
xasihalaha	SH AW1 S IY1 HH AW1 L AW1 HH AW1
xasihalambi	SH AW1 S IY1 HH AW1 L AW1 M P IY1
xasihalame	SH AW1 S IY1 HH AW1 L AW1 M AH1
xasihalara	SH AW1 S IY1 HH AW1 L AW1 R AW1
xasihan	SH AW1 S IY1 HH AW1 N
xasihaxambi	SH AW1 S IY1 HH AW1 SH AW1 M P IY1
xasihi	SH AW1 S IY1 HH IY1
xasinaha	SH AW1 S IY1 N AW1 HH AW1
xasixame	SH AW1 S IY1 SH AW1 M AH1
xata	SH AW1 T AW1
xatai	SH AW1 T AW1 JH
xatan	SH AW1 T AW1 N
xatu	SH AW1 T UW1
xatubumbi	SH AW1 T UW1 P UW1 M P IY1
xatumbi	SH AW1 T UW1 M P IY1
xature	SH AW1 T UW1 R AH1
xaturnaha	SH AW1 T UW1 R N AW1 HH AW1
xaturnahabi	SH AW1 T UW1 R N AW1 HH AW1 P IY1
xau	SH AW1 W
xauha	SH AW1 W HH AW1
xauhvraumbi	SH AW1 W HH AO1 R AW1 W M P IY1
xauhvrun	SH AW1 W HH AO1 R UW1 N
xausin	SH AW1 W S IY1 N
xaxa	SH AW1 SH AW1
xaxabufi	SH AW1 SH AW1 P UW1 F IY1
xaxabuha	SH AW1 SH AW1 P UW1 HH AW1
xaxabuhangge	SH AW1 SH AW1 P UW1 HH AW1 NG NG AH1
xaxabumbi	SH AW1 SH AW1 P UW1 M P IY1
xaxabume	SH AW1 SH AW1 P UW1 M AH1
xaxabure	SH AW1 SH AW1 P UW1 R AH1
xaxaha	SH AW1 SH AW1 HH AW1
xaxahabi	SH AW1 SH AW1 HH AW1 P IY1
xaxambi	SH AW1 SH AW1 M P IY1
xaxame	SH AW1 SH AW1 M AH1
xaxan	SH AW1 SH AW1 N
xaxanjafi	SH AW1 SH AW1 N JH AW1 F IY1
xaxohonggo	SH AW1 SH OW1 HH OW1 NG N OW1
xaxun	SH AW1 SH UW1 N
xaxunjame	SH AW1 SH UW1 N JH AW1 M AH1
xayaka	SH AW1 JH AW1 K AW1
xayan	SH AW1 JH AW1 N
xayang	SH AW1 JH AW1 NG
xayar	SH AW1 JH AW1 R
xayo	SH AW1 JH OW1
xayolambi	SH AW1 JH OW1 L AW1 M P IY1
xayolame	SH AW1 JH OW1 L AW1 M AH1
xayolara	SH AW1 JH OW1 L AW1 R AW1
xe	SH AH1
xebderilehe	SH AH1 P T AH1 R IY1 L AH1 HH AH1
xeben	SH AH1 P AH1 N
xebjelehebi	SH AH1 P JH AH1 L AH1 HH AH1 P IY1
xebniu	SH AH1 P N IY1 W
xebtehe	SH AH1 P T AH1 HH AH1
xebtehebi	SH AH1 P T AH1 HH AH1 P IY1
xebtembi	SH AH1 P T AH1 M P IY1
xebteme	SH AH1 P T AH1 M AH1
xebtuhebi	SH AH1 P T UW1 HH AH1 P IY1
xedubuha	SH AH1 T UW1 P UW1 HH AW1
xehehen	SH AH1 HH AH1 HH AH1 N
xehen	SH AH1 HH AH1 N
xehiyang	SH AH1 HH JH AW1 NG
xehuken	SH AH1 HH UW1 K AH1 N
xehun	SH AH1 HH UW1 N
xei	SH AH1 JH
xeilefi	SH AH1 JH L AH1 F IY1
xejile	SH AH1 JH IY1 L AH1
xejilebumbi	SH AH1 JH IY1 L AH1 P UW1 M P IY1
xejilehe	SH AH1 JH IY1 L AH1 HH AH1
xejilembi	SH AH1 JH IY1 L AH1 M P IY1
xejilembikai	SH AH1 JH IY1 L AH1 M P IY1 K AW1 JH
xejileme	SH AH1 JH IY1 L AH1 M AH1
xejilerakv	SH AH1 JH IY1 L AH1 R AW1 K AO1
xejilere	SH AH1 JH IY1 L AH1 R AH1
xejilerengge	SH AH1 JH IY1 L AH1 R AH1 NG NG AH1
xekebumbi	SH AH1 K AH1 P UW1 M P IY1
xekehe	SH AH1 K AH1 HH AH1
xekehebi	SH AH1 K AH1 HH AH1 P IY1
xekembi	SH AH1 K AH1 M P IY1
xekeme	SH AH1 K AH1 M AH1
xekere	SH AH1 K AH1 R AH1
xelame	SH AH1 L AW1 M AH1
xelara	SH AH1 L AW1 R AW1
xelbori	SH AH1 L P OW1 R IY1
xele	SH AH1 L AH1
xelefi	SH AH1 L AH1 F IY1
xelehe	SH AH1 L AH1 HH AH1
xelehengge	SH AH1 L AH1 HH AH1 NG NG AH1
xeleki	SH AH1 L AH1 K IY1
xelembi	SH AH1 L AH1 M P IY1
xeleme	SH AH1 L AH1 M AH1
xelen	SH AH1 L AH1 N
xelere	SH AH1 L AH1 R AH1
xembi	SH AH1 M P IY1
xemboui	SH AH1 M P OW1 W JH
xeme	SH AH1 M AH1
xempi	SH AH1 M P IY1
xempilebumbi	SH AH1 M P IY1 L AH1 P UW1 M P IY1
xempilembi	SH AH1 M P IY1 L AH1 M P IY1
xemu	SH AH1 M UW1
xen	SH AH1 N
xen'	SH AH1 N
xendung	SH AH1 N T UW1 NG
xeng	SH AH1 NG
xengge	SH AH1 NG NG AH1
xenggehen	SH AH1 NG NG AH1 HH AH1 N
xenggen	SH AH1 NG NG AH1 N
xenggeqi	SH AH1 NG NG AH1 K IY1
xenggetu	SH AH1 NG NG AH1 T UW1
xenggetungge	SH AH1 NG NG AH1 T UW1 NG NG AH1
xenggi	SH AH1 NG NG IY1
xenggileme	SH AH1 NG NG IY1 L AH1 M AH1
xenggin	SH AH1 NG NG IY1 N
xenggintu	SH AH1 NG NG IY1 N T UW1
xenggiyan	SH AH1 NG NG JH AW1 N
xenggiyen	SH AH1 NG NG JH AE1 N
xengin	SH AH1 NG IY1 N
xengki	SH AH1 NG K IY1
xengkiri	SH AH1 NG K IY1 R IY1
xengkitu	SH AH1 NG K IY1 T UW1
xengsin	SH AH1 NG S IY1 N
xengzu	SH AH1 NG D UW1
xenjuhun	SH AH1 N JH UW1 HH UW1 N
xentei	SH AH1 N T AH1 JH
xentu	SH AH1 N T UW1
xentuhen	SH AH1 N T UW1 HH AH1 N
xentuhun	SH AH1 N T UW1 HH UW1 N
xenxun	SH AH1 N SH UW1 N
xerdeku	SH AH1 R T AH1 K UW1
xerdeme	SH AH1 R T AH1 M AH1
xerebuhebi	SH AH1 R AH1 P UW1 HH AH1 P IY1
xerebumbi	SH AH1 R AH1 P UW1 M P IY1
xereke	SH AH1 R AH1 K AH1
xerekebi	SH AH1 R AH1 K AH1 P IY1
xerembi	SH AH1 R AH1 M P IY1
xerembufi	SH AH1 R AH1 M P UW1 F IY1
xerembuhe	SH AH1 R AH1 M P UW1 HH AH1
xerembumbi	SH AH1 R AH1 M P UW1 M P IY1
xerembure	SH AH1 R AH1 M P UW1 R AH1
xerendumbi	SH AH1 R AH1 N T UW1 M P IY1
xerentumbi	SH AH1 R AH1 N T UW1 M P IY1
xerere	SH AH1 R AH1 R AH1
xerhe	SH AH1 R HH AH1
xeri	SH AH1 R IY1
xeribuhe	SH AH1 R IY1 P UW1 HH AH1
xeribumbi	SH AH1 R IY1 P UW1 M P IY1
xeribume	SH AH1 R IY1 P UW1 M AH1
xerihe	SH AH1 R IY1 HH AH1
xerimbi	SH AH1 R IY1 M P IY1
xerimbikai	SH AH1 R IY1 M P IY1 K AW1 JH
xerime	SH AH1 R IY1 M AH1
xerin	SH AH1 R IY1 N
xeringge	SH AH1 R IY1 NG NG AH1
xeringgiyefi	SH AH1 R IY1 NG NG JH AE1 F IY1
xeringgiyehe	SH AH1 R IY1 NG NG JH AE1 HH AH1
xeringgiyembi	SH AH1 R IY1 NG NG JH AE1 M P IY1
xerinju	SH AH1 R IY1 N JH UW1
xeriqi	SH AH1 R IY1 K IY1
xerire	SH AH1 R IY1 R AH1
xerirengge	SH AH1 R IY1 R AH1 NG NG AH1
xerqembi	SH AH1 R CH AH1 M P IY1
xersen	SH AH1 R S AH1 N
xertu	SH AH1 R T UW1
xertuku	SH AH1 R T UW1 K UW1
xetashvn	SH AH1 T AW1 S HH AO1 N
xetehuri	SH AH1 T AH1 HH UW1 R IY1
xeterefi	SH AH1 T AH1 R AH1 F IY1
xeterekebi	SH AH1 T AH1 R AH1 K AH1 P IY1
xeterxembi	SH AH1 T AH1 R SH AH1 M P IY1
xetoken	SH AH1 T OW1 K AH1 N
xetuhen	SH AH1 T UW1 HH AH1 N
xetuken	SH AH1 T UW1 K AH1 N
xetumbi	SH AH1 T UW1 M P IY1
xeturnaha	SH AH1 T UW1 R N AW1 HH AW1
xeu	SH AH1 W
xeubei	SH AH1 W P AH1 JH
xeulebumbi	SH AH1 W L AH1 P UW1 M P IY1
xeulefi	SH AH1 W L AH1 F IY1
xeulegen	SH AH1 W L AH1 K AH1 N
xeulehe	SH AH1 W L AH1 HH AH1
xeulehebi	SH AH1 W L AH1 HH AH1 P IY1
xeulehekv	SH AH1 W L AH1 HH AH1 K AO1
xeulehengge	SH AH1 W L AH1 HH AH1 NG NG AH1
xeulembi	SH AH1 W L AH1 M P IY1
xeuleme	SH AH1 W L AH1 M AH1
xeulen	SH AH1 W L AH1 N
xeulere	SH AH1 W L AH1 R AH1
xeulerengge	SH AH1 W L AH1 R AH1 NG NG AH1
xeuteu	SH AH1 W T AH1 W
xexbumbi	SH AH1 SH P UW1 M P IY1
xexebufi	SH AH1 SH AH1 P UW1 F IY1
xexebuhe	SH AH1 SH AH1 P UW1 HH AH1
xexebuhengge	SH AH1 SH AH1 P UW1 HH AH1 NG NG AH1
xexebumbi	SH AH1 SH AH1 P UW1 M P IY1
xexebure	SH AH1 SH AH1 P UW1 R AH1
xexehengge	SH AH1 SH AH1 HH AH1 NG NG AH1
xexembi	SH AH1 SH AH1 M P IY1
xexeme	SH AH1 SH AH1 M AH1
xexempe	SH AH1 SH AH1 M P AH1
xexeri	SH AH1 SH AH1 R IY1
xeyehen	SH AH1 JH AE1 HH AH1 N
xeyeke	SH AH1 JH AE1 K AH1
xeyeken	SH AH1 JH AE1 K AH1 N
xeyelhen	SH AH1 JH AE1 L HH AH1 N
xeyen	SH AH1 JH AE1 N
xhvn	SH HH AO1 N
xi	S IY1
xibei	S IY1 P AH1 JH
xibou	S IY1 P OW1 W
xidiyei	S IY1 T JH AE1 JH
xidu	S IY1 T UW1
xigiyang	S IY1 K JH AW1 NG
xihei	S IY1 HH AH1 JH
xii	S IY1
xilang	S IY1 L AW1 NG
xile	S IY1 L AH1
xilgiyan	S IY1 L K JH AW1 N
xiliu	S IY1 L IY1 W
xin	S IY1 N
xinagan	S IY1 N AW1 K AW1 N
xing	S IY1 NG
xiqing	S IY1 K IY1 NG
xirtan	S IY1 R T AW1 N
xisi	S IY1 S IY1
xitu	S IY1 T UW1
xiu	S IY1 W
xiyang	S IY1 AW1 NG
xiyvn	S IY1 Y N
xizi	S IY1 D IY1
xizu	S IY1 D UW1
xizung	S IY1 D UW1 NG
xlhe	SH L HH AH1
xn	SH N
xnhvn	SH N HH AO1 N
xnyan	SH N JH AW1 N
xo	SH OW1
xo'	SH OW1
xobaha	SH OW1 P AW1 HH AW1
xobin	SH OW1 P IY1 N
xobkoxombi	SH OW1 P K OW1 SH OW1 M P IY1
xobkoxome	SH OW1 P K OW1 SH OW1 M AH1
xobumbi	SH OW1 P UW1 M P IY1
xobume	SH OW1 P UW1 M AH1
xodan	SH OW1 T AW1 N
xodobumbi	SH OW1 T OW1 P UW1 M P IY1
xodoho	SH OW1 T OW1 HH OW1
xodoi	SH OW1 T OW1 JH
xodokv	SH OW1 T OW1 K AO1
xodombi	SH OW1 T OW1 M P IY1
xodome	SH OW1 T OW1 M AH1
xodonambi	SH OW1 T OW1 N AW1 M P IY1
xodoro	SH OW1 T OW1 R OW1
xoduxudu	SH OW1 T UW1 SH UW1 T UW1
xofi	SH OW1 F IY1
xofor	SH OW1 F OW1 R
xoforo	SH OW1 F OW1 R OW1
xoforobumbi	SH OW1 F OW1 R OW1 P UW1 M P IY1
xoforokv	SH OW1 F OW1 R OW1 K AO1
xoforombi	SH OW1 F OW1 R OW1 M P IY1
xoforome	SH OW1 F OW1 R OW1 M AH1
xoforonggo	SH OW1 F OW1 R OW1 NG N OW1
xoforonjimbi	SH OW1 F OW1 R OW1 N JH IY1 M P IY1
xoforonjire	SH OW1 F OW1 R OW1 N JH IY1 R AH1
xofororo	SH OW1 F OW1 R OW1 R OW1
xoforxombi	SH OW1 F OW1 R SH OW1 M P IY1
xofoyen	SH OW1 F OW1 JH AE1 N
xofoyon	SH OW1 F OW1 JH OW1 N
xoge	SH OW1 K AH1
xogi	SH OW1 K IY1
xogin	SH OW1 K IY1 N
xoha	SH OW1 HH AW1
xohada	SH OW1 HH AW1 T AW1
xohadaha	SH OW1 HH AW1 T AW1 HH AW1
xohadambi	SH OW1 HH AW1 T AW1 M P IY1
xohadame	SH OW1 HH AW1 T AW1 M AH1
xohan	SH OW1 HH AW1 N
xohatahangge	SH OW1 HH AW1 T AW1 HH AW1 NG NG AH1
xohe	SH OW1 HH AH1
xoho	SH OW1 HH OW1
xohodome	SH OW1 HH OW1 T OW1 M AH1
xoi	SH OW1 JH
xojan	SH OW1 JH AW1 N
xokdonjiyaha	SH OW1 K T OW1 N JH JH AW1 HH AW1
xoki	SH OW1 K IY1
xokilara	SH OW1 K IY1 L AW1 R AW1
xokin	SH OW1 K IY1 N
xokume	SH OW1 K UW1 M AH1
xokv	SH OW1 K AO1
xokxohon	SH OW1 K SH OW1 HH OW1 N
xokxohun	SH OW1 K SH OW1 HH UW1 N
xokxohvn	SH OW1 K SH OW1 HH AO1 N
xokxolime	SH OW1 K SH OW1 L IY1 M AH1
xol	SH OW1 L
xola	SH OW1 L AW1
xole	SH OW1 L AH1
xolehebi	SH OW1 L AH1 HH AH1 P IY1
xolen	SH OW1 L AH1 N
xolgonaha	SH OW1 L K OW1 N AW1 HH AW1
xolgonahangge	SH OW1 L K OW1 N AW1 HH AW1 NG NG AH1
xolgonaki	SH OW1 L K OW1 N AW1 K IY1
xolgonambi	SH OW1 L K OW1 N AW1 M P IY1
xolgoname	SH OW1 L K OW1 N AW1 M AH1
xolgonaqi	SH OW1 L K OW1 N AW1 K IY1
xolho	SH OW1 L HH OW1
xoli	SH OW1 L IY1
xolihun	SH OW1 L IY1 HH UW1 N
xolime	SH OW1 L IY1 M AH1
xolingho	SH OW1 L IY1 NG HH OW1
xolo	SH OW1 L OW1
xolobumbi	SH OW1 L OW1 P UW1 M P IY1
xolofi	SH OW1 L OW1 F IY1
xoloho	SH OW1 L OW1 HH OW1
xolohongge	SH OW1 L OW1 HH OW1 NG NG AH1
xoloi	SH OW1 L OW1 JH
xolombi	SH OW1 L OW1 M P IY1
xolon	SH OW1 L OW1 N
xolonggo	SH OW1 L OW1 NG N OW1
xolongo	SH OW1 L OW1 NG OW1
xolontu	SH OW1 L OW1 N T UW1
xolontun	SH OW1 L OW1 N T UW1 N
xoloro	SH OW1 L OW1 R OW1
xombi	SH OW1 M P IY1
xome	SH OW1 M AH1
xomhan	SH OW1 M HH AW1 N
xomin	SH OW1 M IY1 N
xon	SH OW1 N
xonggayan	SH OW1 NG N AW1 JH AW1 N
xongge	SH OW1 NG NG AH1
xonggo	SH OW1 NG N OW1
xonggon	SH OW1 NG N OW1 N
xonggoro	SH OW1 NG N OW1 R OW1
xongkon	SH OW1 NG K OW1 N
xongkoro	SH OW1 NG K OW1 R OW1
xongnaha	SH OW1 NG N AW1 HH AW1
xongningga	SH OW1 NG N IY1 NG N AW1
xonumbi	SH OW1 N UW1 M P IY1
xoqi	SH OW1 K IY1
xoqilare	SH OW1 K IY1 L AW1 R AH1
xor	SH OW1 R
xordai	SH OW1 R T AW1 JH
xordebume	SH OW1 R T AH1 P UW1 M AH1
xordeme	SH OW1 R T AH1 M AH1
xordere	SH OW1 R T AH1 R AH1
xore	SH OW1 R AH1
xorede	SH OW1 R AH1 T AH1
xorengge	SH OW1 R AH1 NG NG AH1
xorgi	SH OW1 R K IY1
xorgibufi	SH OW1 R K IY1 P UW1 F IY1
xorgibuha	SH OW1 R K IY1 P UW1 HH AW1
xorgibuki	SH OW1 R K IY1 P UW1 K IY1
xorgibumbi	SH OW1 R K IY1 P UW1 M P IY1
xorgibure	SH OW1 R K IY1 P UW1 R AH1
xorgiha	SH OW1 R K IY1 HH AW1
xorgikv	SH OW1 R K IY1 K AO1
xorgimbi	SH OW1 R K IY1 M P IY1
xorgime	SH OW1 R K IY1 M AH1
xorginambi	SH OW1 R K IY1 N AW1 M P IY1
xorgindumbi	SH OW1 R K IY1 N T UW1 M P IY1
xorginjimbi	SH OW1 R K IY1 N JH IY1 M P IY1
xorginjiren	SH OW1 R K IY1 N JH IY1 R AH1 N
xorginumbi	SH OW1 R K IY1 N UW1 M P IY1
xorgiqi	SH OW1 R K IY1 K IY1
xorgirakv	SH OW1 R K IY1 R AW1 K AO1
xorgire	SH OW1 R K IY1 R AH1
xorho	SH OW1 R HH OW1
xorhoi	SH OW1 R HH OW1 JH
xorhv	SH OW1 R HH AO1
xori	SH OW1 R IY1
xorime	SH OW1 R IY1 M AH1
xorire	SH OW1 R IY1 R AH1
xoro	SH OW1 R OW1
xoron	SH OW1 R OW1 N
xoronggo	SH OW1 R OW1 NG N OW1
xoronjire	SH OW1 R OW1 N JH IY1 R AH1
xosai	SH OW1 S AW1 JH
xose	SH OW1 S AH1
xosiha	SH OW1 S IY1 HH AW1
xosihai	SH OW1 S IY1 HH AW1 JH
xosiki	SH OW1 S IY1 K IY1
xosin	SH OW1 S IY1 N
xositun	SH OW1 S IY1 T UW1 N
xota	SH OW1 T AW1
xotan	SH OW1 T AW1 N
xotdai	SH OW1 T T AW1 JH
xoto	SH OW1 T OW1
xotombi	SH OW1 T OW1 M P IY1
xou	SH OW1 W
xoubaga	SH OW1 W P AW1 K AW1
xoubou	SH OW1 W P OW1 W
xoufu	SH OW1 W F UW1
xouge	SH OW1 W K AH1
xouha	SH OW1 W HH AW1
xoulangga	SH OW1 W L AW1 NG N AW1
xouro	SH OW1 W R OW1
xouxi	SH OW1 W S IY1
xouyo	SH OW1 W JH OW1
xouyou	SH OW1 W JH OW1 W
xowambi	SH OW1 AW1 M P IY1
xowanafi	SH OW1 AW1 N AW1 F IY1
xowaselara	SH OW1 AW1 S AH1 L AW1 R AW1
xoxobumbi	SH OW1 SH OW1 P UW1 M P IY1
xoxobun	SH OW1 SH OW1 P UW1 N
xoxobure	SH OW1 SH OW1 P UW1 R AH1
xoxofi	SH OW1 SH OW1 F IY1
xoxoho	SH OW1 SH OW1 HH OW1
xoxohobi	SH OW1 SH OW1 HH OW1 P IY1
xoxohon	SH OW1 SH OW1 HH OW1 N
xoxohonggo	SH OW1 SH OW1 HH OW1 NG N OW1
xoxohvn	SH OW1 SH OW1 HH AO1 N
xoxokv	SH OW1 SH OW1 K AO1
xoxolimbi	SH OW1 SH OW1 L IY1 M P IY1
xoxom	SH OW1 SH OW1 M
